id,company,title,publish_date,type,open_source,summary,details,url,tags,created_at
rss_https://openai.com/index/introducing-gpt-rosalind,OpenAI,Introducing GPT-Rosalind for life sciences research,2026-04-16,其他,否,"OpenAI introduces GPT-Rosalind, a frontier reasoning model built to accelerate drug discovery, genomics analysis, protein reasoning, and scientific research workflows.",,https://openai.com/index/introducing-gpt-rosalind,,2026-04-17 04:44:49
rss_https://blog.google/innovation-and-ai/products/gemini-app/personal-intelligence-nano-banana/,Google AI,New ways to create personalized images in the Gemini app,2026-04-16,其他,否,Example images made with Personal Intelligence,,https://blog.google/innovation-and-ai/products/gemini-app/personal-intelligence-nano-banana/,,2026-04-17 04:44:50
rss_https://huggingface.co/blog/train-multimodal-sentence-transformers,Hugging Face,Training and Finetuning Multimodal Embedding & Reranker Models with Sentence Transformers,2026-04-16,其他,否,,,https://huggingface.co/blog/train-multimodal-sentence-transformers,,2026-04-17 04:44:51
rss_https://simonwillison.net/2026/Apr/16/qwen-beats-opus/#atom-everything,Simon Willison,Qwen3.6-35B-A3B on my laptop drew me a better pelican than Claude Opus 4.7,2026-04-16,其他,否,"<p>For anyone who has been (inadvisably) taking my <a href=""https://simonwillison.net/tags/pelican-riding-a-bicycle/"">pelican riding a bicycle benchmark</a> seriously as a robust way to test models, h",,https://simonwillison.net/2026/Apr/16/qwen-beats-opus/#atom-everything,,2026-04-17 04:44:53
rss_https://huggingface.co/blog/nvidia/nemotron-ocr-v2,Hugging Face,Building a Fast Multilingual OCR Model with Synthetic Data,2026-04-17,其他,否,,,https://huggingface.co/blog/nvidia/nemotron-ocr-v2,,2026-04-18 04:27:22
rss_https://huggingface.co/blog/ecom-rlve,Hugging Face,Ecom-RLVE: Adaptive Verifiable Environments for E-Commerce Conversational Agents,2026-04-16,其他,否,,,https://huggingface.co/blog/ecom-rlve,,2026-04-18 04:27:22
rss_https://simonwillison.net/guides/agentic-engineering-patterns/adding-a-new-content-type/#atom-everything,Simon Willison,Adding a new content type to my blog-to-newsletter tool,2026-04-18,其他,否,"<p><em><a href=""https://simonwillison.net/guides/agentic-engineering-patterns/"">Agentic Engineering Patterns</a> &gt;</em></p>
    <p>Here's an example of a deceptively short prompt that got a <em>lot",,https://simonwillison.net/guides/agentic-engineering-patterns/adding-a-new-content-type/#atom-everything,,2026-04-18 04:27:24
rss_https://simonwillison.net/2026/Apr/17/datasette/#atom-everything,Simon Willison,datasette 1.0a28,2026-04-17,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/simonw/datasette/releases/tag/1.0a28"">datasette 1.0a28</a></p>
    <p>I was upgrading Datasette Cloud to <a href=""https://simonwillison.net/202",,https://simonwillison.net/2026/Apr/17/datasette/#atom-everything,,2026-04-18 04:27:24
rss_https://simonwillison.net/2026/Apr/18/opus-system-prompt/#atom-everything,Simon Willison,Changes in the system prompt between Claude Opus 4.6 and 4.7,2026-04-18,其他,否,"<p>Anthropic are the only major AI lab to <a href=""https://platform.claude.com/docs/en/release-notes/system-prompts"">publish the system prompts</a> for their user-facing chat systems. Their system pro",,https://simonwillison.net/2026/Apr/18/opus-system-prompt/#atom-everything,,2026-04-19 04:47:32
rss_https://simonwillison.net/2026/Apr/18/extract-system-prompts/#atom-everything,Simon Willison,Claude system prompts as a git timeline,2026-04-18,其他,否,"<p><strong>Research:</strong> <a href=""https://github.com/simonw/research/tree/main/extract-system-prompts#readme"">Claude system prompts as a git timeline</a></p>
    <p>Anthropic <a href=""https://pla",,https://simonwillison.net/2026/Apr/18/extract-system-prompts/#atom-everything,,2026-04-19 04:47:32
rss_https://simonwillison.net/2026/Apr/20/datasette-sql/#atom-everything,Simon Willison,SQL functions in Google Sheets to fetch data from Datasette,2026-04-20,其他,否,"<p><strong>TIL:</strong> <a href=""https://til.simonwillison.net/google-sheets/datasette-sql"">SQL functions in Google Sheets to fetch data from Datasette</a></p>
    <p>I put together some notes on pat",,https://simonwillison.net/2026/Apr/20/datasette-sql/#atom-everything,,2026-04-20 04:56:20
rss_https://simonwillison.net/2026/Apr/20/claude-token-counts/#atom-everything,Simon Willison,"Claude Token Counter, now with model comparisons",2026-04-20,其他,否,"<p><strong><a href=""https://tools.simonwillison.net/claude-token-counter"">Claude Token Counter, now with model comparisons</a></strong></p>
I <a href=""https://github.com/simonw/tools/pull/269"">upgrade",,https://simonwillison.net/2026/Apr/20/claude-token-counts/#atom-everything,,2026-04-20 04:56:20
rss_https://huggingface.co/blog/nvidia/build-korean-agents-with-nemotron-personas,Hugging Face,How to Ground a Korean AI Agent in Real Demographics with Synthetic Personas,2026-04-21,其他,否,,,https://huggingface.co/blog/nvidia/build-korean-agents-with-nemotron-personas,,2026-04-21 04:44:30
